experiment	condition	count
1	2mg/mL_0	0
1	4mg/mL_0	0
1	6mg/mL_0	0
1	6mg/mL_0	0
1	4mg/mL_0	0
1	2mg/mL_0	0
1	4mg/mL_0	0
1	6mg/mL_0	0
1	4mg/mL_0	0
1	2mg/mL_1	0.134615385
1	4mg/mL_1	0.231707317
1	6mg/mL_1	0.103896104
1	6mg/mL_1	0.228346457
1	4mg/mL_1	0.440860215
1	2mg/mL_1	0.020833333
1	4mg/mL_1	0.083333333
1	6mg/mL_1	0
1	4mg/mL_1	0.054054054
1	2mg/mL_2	0.278846154
1	4mg/mL_2	0.43902439
1	6mg/mL_2	0.207792208
1	6mg/mL_2	0.362204724
1	4mg/mL_2	0.817204301
1	2mg/mL_2	0.052083333
1	4mg/mL_2	0.097222222
1	6mg/mL_2	0.012048193
1	4mg/mL_2	0.094594595
1	2mg/mL_3	0.326923077
1	4mg/mL_3	0.670731707
1	6mg/mL_3	0.207792208
1	6mg/mL_3	0.543307087
1	4mg/mL_3	0.967741935
1	2mg/mL_3	0.09375
1	4mg/mL_3	0.125
1	6mg/mL_3	0.036144578
1	4mg/mL_3	0.162162162
1	2mg/mL_4	0.375
1	4mg/mL_4	0.914634146
1	6mg/mL_4	0.285714286
1	6mg/mL_4	0.622047244
1	4mg/mL_4	1.021505376
1	2mg/mL_4	0.145833333
1	4mg/mL_4	0.222222222
1	6mg/mL_4	0.036144578
1	4mg/mL_4	0.202702703
1	2mg/mL_5	0.394230769
1	4mg/mL_5	1.256097561
1	6mg/mL_5	0.428571429
1	6mg/mL_5	0.677165354
1	4mg/mL_5	1.150537634
1	2mg/mL_5	0.229166667
1	4mg/mL_5	0.263888889
1	6mg/mL_5	0.048192771
1	4mg/mL_5	0.256756757
1	2mg/mL_6	0.317307692
1	4mg/mL_6	1.097560976
1	6mg/mL_6	0.571428571
1	6mg/mL_6	0.669291339
1	4mg/mL_6	0.88172043
1	2mg/mL_6	0.21875
1	4mg/mL_6	0.277777778
1	6mg/mL_6	0.072289157
1	4mg/mL_6	0.22972973
1	2mg/mL_7	0.336538462
1	4mg/mL_7	1.097560976
1	6mg/mL_7	0.623376623
1	6mg/mL_7	0.661417323
1	4mg/mL_7	0.956989247
1	2mg/mL_7	0.197916667
1	4mg/mL_7	0.347222222
1	6mg/mL_7	0.120481928
1	4mg/mL_7	0.297297297
1	2mg/mL_8	0.326923077
1	4mg/mL_8	1.134146341
1	6mg/mL_8	0.597402597
1	6mg/mL_8	0.606299213
1	4mg/mL_8	0.784946237
1	2mg/mL_8	0.1875
1	4mg/mL_8	0.458333333
1	6mg/mL_8	0.13253012
1	4mg/mL_8	0.364864865
2	2mg/mL_0	0
2	4mg/mL_0	0
2	6mg/mL_0	0
2	6mg/mL_0	0
2	4mg/mL_0	0
2	2mg/mL_0	0
2	4mg/mL_0	0
2	6mg/mL_0	0
2	6mg/mL_0	0
2	4mg/mL_0	0
2	2mg/mL_1	0.224489796
2	4mg/mL_1	0.068027211
2	6mg/mL_1	0.034782609
2	6mg/mL_1	0.008928571
2	4mg/mL_1	0.078740157
2	2mg/mL_1	0.008333333
2	4mg/mL_1	0.22147651
2	6mg/mL_1	0.06870229
2	6mg/mL_1	0.264957265
2	4mg/mL_1	0.283687943
2	2mg/mL_2	0.62585034
2	4mg/mL_2	0.156462585
2	6mg/mL_2	0.052173913
2	6mg/mL_2	0.008928571
2	4mg/mL_2	0.173228346
2	2mg/mL_2	0.025
2	4mg/mL_2	0.348993289
2	6mg/mL_2	0.091603053
2	6mg/mL_2	0.547008547
2	4mg/mL_2	0.460992908
